ID,Date,Company,Title,Location,Link,Description,Level,Type,Function,Industry
urn:li:jobPosting:3272108081,2022-09-15,Incentiv.me,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-me-3272108081?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=fDC%2BEqFkaEXoPx9JoEAyMg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3283612343,2022-09-22,FiberX,Sales Operations / Sales Data Analyst,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/sales-operations-sales-data-analyst-at-fiberx-3283612343?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=Qdgb7HAnQy7YOjV7pu4Kxw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3288728174,2022-09-22,INCENTIV,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-3288728174?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=Fb2p0RlDNqka%2BGs1fGbWxQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3273971302,2022-08-23,Seazone,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-seazone-3273971302?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=dlOlEUQ01jKeDW3VvRBOKA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3247509325,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247509325?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=uAjcICqP4ECM9p3v9Iogcg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3247510275,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247510275?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=kePvdOyCaUudr55wqh%2FARA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3269138473,2022-09-17,Dynamox,ANALISTA DE DADOS,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-dynamox-3269138473?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=gYQRjl9XHaqOcOx6%2Bm%2FSUA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3247489068,2022-09-01,BIX Tech - Data Consulting,Engenheira(o) de Dados - Júnior (Remoto),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheira-o-de-dados-j%C3%BAnior-remoto-at-bix-tecnologia-consultoria-de-dados-3247489068?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=KILiqr0AFwy62lZMX5b6Ww%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3255755934,2022-08-12,3Neuron,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-3neuron-3255755934?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=1mTH8xfNBrnCrIpRbyi9Cw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3254129678,2022-09-09,Pieta.tech,Analista de Dados & Growth,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-growth-at-pieta-tech-3254129678?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=MhGlaPZmUOeDDb5q5Xn5hA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3274894028,2022-09-22,DOT Digital Group,Engenheiro(a) de Dados Júnior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheiro-a-de-dados-j%C3%BAnior-at-dot-digital-group-3274894028?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=yal5%2B1JpVrsz9ZpyMmmDqA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3274713572,2022-08-25,Fator WoW!,Engenheiro de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-fator-wow%21-3274713572?refId=M3gvRWmiPk9RfbiFbr9yRA%3D%3D&trackingId=hQbXg7wqOtG2JZY0hy2Alg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card, , , , , 
