ID,Date,Company,Title,Location,Link
urn:li:jobPosting:3272108081,2022-09-15,Incentiv.me,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-me-3272108081?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=cQAZMd%2FrW02cy%2FJFibodFg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3283612343,2022-09-22,FiberX,Sales Operations / Sales Data Analyst,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/sales-operations-sales-data-analyst-at-fiberx-3283612343?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=azQeYJhHur8HMhRfP4wG3Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3273971302,2022-08-23,Seazone,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-seazone-3273971302?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=hFraNa55vK35m%2B%2FnvBM9Pw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3277353852,2022-09-19,INCENTIV,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-3277353852?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=RmA7bepclT%2BxYd5ygYHctA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3247509325,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247509325?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=b6KfKI5y4ARKWWYUG9k9QA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3247510275,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247510275?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=FMQ3Y15czDZ2Idxba3fS9A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3269138473,2022-09-17,Dynamox,ANALISTA DE DADOS,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-dynamox-3269138473?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=abrEd0ZrrtCtBWiNw2oXXA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3247489068,2022-09-01,BIX Tech - Data Consulting,Engenheira(o) de Dados - Júnior (Remoto),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheira-o-de-dados-j%C3%BAnior-remoto-at-bix-tecnologia-consultoria-de-dados-3247489068?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=WoggSx3zHDHDWYNfXU6e1A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3255755934,2022-08-12,3Neuron,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-3neuron-3255755934?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=TEHUSUDnIffm%2FljFDBXI9Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3254129678,2022-09-09,Pieta.tech,Analista de Dados & Growth,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-growth-at-pieta-tech-3254129678?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=Ibf58zY5fw1W1%2F%2FjMMYEug%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3274713572,2022-08-25,Fator WoW!,Engenheiro de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-fator-wow%21-3274713572?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=MBKTtrRyXhig9CCZNM9cXQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3280382851,2022-09-20,Oowlish,Data Engineer - Online Job,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-engineer-online-job-at-oowlish-3280382851?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=zcfC%2BwNJL3PSP5jpapi2UA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3254129701,2022-09-09,Pieta.tech,Desenvolvedor Júnior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-j%C3%BAnior-at-pieta-tech-3254129701?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=MYmCbRzOOXYg5FSIsxxzXA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3266600106,2022-09-12,DOJO - Smart Ways,Data Engineer (PL / SR),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-engineer-pl-sr-at-dojo-smart-ways-3266600106?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=d96TCAh24NUDfT%2FUXqBdwg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3282147957,2022-09-22,RD Station,Pessoa Engenheira de Dados | Data Platform,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-engenheira-de-dados-data-platform-at-rd-station-3282147957?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=ngfda63j%2Fc2Mssu35ZzhMA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
urn:li:jobPosting:3281608116,2022-09-22,Directa Automação,Desenvolvedor,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-at-directa-automa%C3%A7%C3%A3o-3281608116?refId=RGUc%2BlRctabaAtapcMp9qw%3D%3D&trackingId=7LO032Ie6FNHB0cCleejiQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
