ID,Date,Company,Title,Location,Link
,2022-09-15,Incentiv.me,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-me-3272108081?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=gMw%2FMzvaq1KRjOZdTM4qeg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-08-23,Seazone,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-seazone-3273971302?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=VPs9KgasllQ8jLtkoxNTOA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-19,INCENTIV,Analista de Processos - Foco em analise de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-processos-foco-em-analise-de-dados-at-incentiv-3277353852?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=ww113Ip7Fp9T8QI7E%2FVUhQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247509325?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=g1IvMZA9OficMomEHJpl0Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-01,Cresol Cooperativa,Analista de Dados - Cresol Confederação,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-cresol-confedera%C3%A7%C3%A3o-at-cresol-cooperativa-3247510275?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=gbJtMs1%2BJV4L6FMCwfJMtQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-08-12,3Neuron,Analista de Dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-3neuron-3255755934?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=0eYeB9Nrdcaj7BnJMzoC%2BQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-17,Dynamox,ANALISTA DE DADOS,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-at-dynamox-3269138473?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=C7PEguOEbKG1SkXVeYdj3A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-01,BIX Tech - Data Consulting,Engenheira(o) de Dados - Júnior (Remoto),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheira-o-de-dados-j%C3%BAnior-remoto-at-bix-tecnologia-consultoria-de-dados-3247489068?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=qF09NIQzh2AI2HOGT2x7%2Bg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-09,Pieta.tech,Analista de Dados & Growth,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-growth-at-pieta-tech-3254129678?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=yQy7eYKdJyLTD%2FaIcFAFXg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-08-25,Fator WoW!,Engenheiro de dados,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-fator-wow%21-3274713572?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=a0IQ1EC7DNI0Y1HzmfoBdg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-20,Oowlish,Data Engineer - Online Job,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-engineer-online-job-at-oowlish-3273269259?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=6x7lmfsCsy8bJtkpxNy%2BFg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-09,Dynamox,DESENVOLVEDOR FRONT-END SÊNIOR,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-front-end-s%C3%AAnior-at-dynamox-3254130099?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=j5wUGQuHO%2FD3DNw%2FdMasXA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-12,DOJO - Smart Ways,Data Engineer (PL / SR),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-engineer-pl-sr-at-dojo-smart-ways-3266600106?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=DKdsOBErPSFPut5Fzvsh8Q%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-07-21,Canonical,Software Engineer - Data Platform,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-data-platform-at-canonical-3182146551?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=9kiwYa24kOzqKpqPGqeHXQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-08-25,Mercado Livre Brasil,Data Scientist - Mercado Envios,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/data-scientist-mercado-envios-at-mercado-livre-3237158734?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=szHnDD44zv82SYER3Qov3g%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
